,cell_line,assay,file_format,output_type,assembly,file_status,target,biosample_treatment,lab,replicate,file_name,file_location
0,keratinocyte,ChIP-seq,bed narrowPeak,optimal idr thresholded peaks,GRCh38,released,CTCF,None,"Vishwanath Iyer, UTA","rep1,2",ENCFF028IIR.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/optimal idr thresholded peaks/GRCh38/released/CTCF/None/Vishwanath Iyer, UTA/rep1,2/ENCFF028IIR.bed.gz"
1,keratinocyte,ChIP-seq,bed narrowPeak,peaks and background as input for IDR,GRCh38,released,CTCF,None,"Vishwanath Iyer, UTA","rep1,2",ENCFF465MVV.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks and background as input for IDR/GRCh38/released/CTCF/None/Vishwanath Iyer, UTA/rep1,2/ENCFF465MVV.bed.gz"
2,keratinocyte,ChIP-seq,bed narrowPeak,peaks and background as input for IDR,GRCh38,released,CTCF,None,"Vishwanath Iyer, UTA",rep1,ENCFF301UPP.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks and background as input for IDR/GRCh38/released/CTCF/None/Vishwanath Iyer, UTA/rep1/ENCFF301UPP.bed.gz"
3,keratinocyte,ChIP-seq,bed narrowPeak,peaks and background as input for IDR,GRCh38,released,CTCF,None,"Vishwanath Iyer, UTA",rep2,ENCFF623KYU.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks and background as input for IDR/GRCh38/released/CTCF/None/Vishwanath Iyer, UTA/rep2/ENCFF623KYU.bed.gz"
4,keratinocyte,ChIP-seq,bed narrowPeak,conservative idr thresholded peaks,hg19,released,CTCF,None,"Vishwanath Iyer, UTA","rep1,2",ENCFF226MQR.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/conservative idr thresholded peaks/hg19/released/CTCF/None/Vishwanath Iyer, UTA/rep1,2/ENCFF226MQR.bed.gz"
5,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K4me3,None,"Bradley Bernstein, Broad",rep2,ENCFF748PBQ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K4me3/None/Bradley Bernstein, Broad/rep2/ENCFF748PBQ.bed.gz"
6,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K4me3,None,"Bradley Bernstein, Broad",rep1,ENCFF836CYB.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K4me3/None/Bradley Bernstein, Broad/rep1/ENCFF836CYB.bed.gz"
7,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K4me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF366KYY.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K4me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF366KYY.bed.gz"
8,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K4me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF408MTH.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF408MTH.bed.gz"
9,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K4me3,None,"John Stamatoyannopoulos, UW",rep2,ENCFF887QNY.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep2/ENCFF887QNY.bed.gz"
10,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K4me3,None,"John Stamatoyannopoulos, UW",rep1,ENCFF857GXW.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep1/ENCFF857GXW.bed.gz"
11,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K79me2,None,"Bradley Bernstein, Broad","rep1,2",ENCFF849GGE.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K79me2/None/Bradley Bernstein, Broad/rep1,2/ENCFF849GGE.bed.gz"
12,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K79me2,None,"Bradley Bernstein, Broad",rep1,ENCFF351CQK.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K79me2/None/Bradley Bernstein, Broad/rep1/ENCFF351CQK.bed.gz"
13,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K79me2,None,"Bradley Bernstein, Broad",rep2,ENCFF851KUL.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K79me2/None/Bradley Bernstein, Broad/rep2/ENCFF851KUL.bed.gz"
14,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K27ac,None,"Bradley Bernstein, Broad","rep1,2",ENCFF163ONB.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K27ac/None/Bradley Bernstein, Broad/rep1,2/ENCFF163ONB.bed.gz"
